timestamp,bid_open,bid_low,bid_high,bid_close,ask_open,ask_low,ask_high,ask_close,price_open,price_low,price_high,price_close,price_mean,volume,open_interest
2024-10-16 22:00:00,54,54,54,54,55,55,55,55,55.0,54.0,55.0,55.0,54.0,253179,4024745
2024-10-16 23:00:00,54,54,55,55,55,55,56,56,55.0,54.0,56.0,55.0,55.0,668315,4638662
2024-10-17 00:00:00,55,55,55,55,56,56,56,56,55.0,55.0,56.0,56.0,55.0,25724,4648679
2024-10-17 01:00:00,55,55,55,55,56,56,56,56,56.0,55.0,56.0,56.0,55.0,34258,4680730
2024-10-17 02:00:00,55,55,55,55,56,56,56,56,55.0,55.0,56.0,56.0,55.0,48054,4690522
2024-10-17 03:00:00,55,55,56,55,56,56,57,56,56.0,55.0,57.0,56.0,56.0,419332,4712088
2024-10-17 04:00:00,55,55,56,55,56,56,57,56,56.0,55.0,56.0,56.0,55.0,439167,4926161
2024-10-17 05:00:00,55,55,56,56,56,56,57,57,56.0,55.0,57.0,57.0,56.0,55755,4981456
2024-10-17 06:00:00,56,55,56,55,57,56,57,56,57.0,56.0,57.0,56.0,56.0,224134,4985384
2024-10-17 07:00:00,55,55,55,55,56,56,56,56,56.0,55.0,56.0,56.0,55.0,3474,4988858
2024-10-17 13:00:00,55,55,56,56,56,56,58,57,56.0,56.0,57.0,57.0,56.0,90398,5044053
2024-10-17 14:00:00,56,56,57,57,57,57,58,58,57.0,56.0,58.0,58.0,57.0,61675,5083008
2024-10-17 15:00:00,57,56,57,56,58,57,58,57,58.0,56.0,58.0,57.0,57.0,96742,5102765
2024-10-17 16:00:00,56,56,57,56,57,57,58,57,57.0,56.0,58.0,57.0,56.0,224512,5209925
2024-10-17 17:00:00,56,55,56,56,57,56,57,57,57.0,55.0,57.0,57.0,56.0,345337,5522671
2024-10-17 18:00:00,56,55,56,55,57,56,57,56,56.0,55.0,57.0,56.0,55.0,646531,5781010
2024-10-17 19:00:00,55,55,56,55,56,56,57,56,56.0,55.0,57.0,56.0,55.0,264686,6035707
2024-10-17 20:00:00,55,55,56,56,56,56,57,57,56.0,55.0,57.0,57.0,56.0,558080,6565474
2024-10-17 21:00:00,56,56,57,57,57,57,58,58,57.0,56.0,58.0,58.0,57.0,36542,6585917
2024-10-17 22:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,57.0,57.0,21239,6598046
2024-10-17 23:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,58.0,57.0,41614,6635697
2024-10-18 00:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,58.0,57.0,35839,6669419
2024-10-18 01:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,57.0,57.0,247134,6696787
2024-10-18 02:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,58.0,57.0,63118,6707516
2024-10-18 03:00:00,57,56,57,57,58,57,58,58,58.0,56.0,58.0,58.0,57.0,333059,6745114
2024-10-18 04:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,58.0,57.0,29641,6773409
2024-10-18 05:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,58.0,57.0,13035,6784118
2024-10-18 06:00:00,57,57,58,57,58,58,59,58,58.0,57.0,58.0,58.0,57.0,235416,6784757
2024-10-18 07:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,58.0,57.0,10654,6795139
2024-10-18 13:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,57.0,57.0,58255,6807315
2024-10-18 14:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,57.0,57.0,86421,6869285
2024-10-18 15:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,58.0,57.0,41627,6909942
2024-10-18 16:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,58.0,57.0,165173,6954234
2024-10-18 17:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,58.0,57.0,26578,6976683
2024-10-18 18:00:00,57,56,57,56,58,57,58,57,58.0,56.0,58.0,57.0,57.0,806972,7521475
2024-10-18 19:00:00,56,56,57,56,57,57,58,57,57.0,56.0,58.0,57.0,56.0,553984,7546844
2024-10-18 20:00:00,56,56,56,56,57,57,57,57,57.0,56.0,57.0,56.0,56.0,74665,7600069
2024-10-18 21:00:00,56,56,56,56,57,57,57,57,57.0,56.0,57.0,57.0,56.0,39797,7638204
2024-10-18 22:00:00,56,56,57,57,57,57,58,58,57.0,56.0,58.0,58.0,57.0,331760,7942466
2024-10-18 23:00:00,57,57,58,57,58,58,59,58,58.0,57.0,59.0,58.0,57.0,458604,7973949
2024-10-19 00:00:00,57,57,57,57,58,58,58,58,58.0,57.0,58.0,58.0,57.0,30783,7992671
2024-10-19 01:00:00,57,57,58,57,58,58,59,58,58.0,57.0,58.0,58.0,58.0,159455,8091196
2024-10-19 02:00:00,57,57,57,57,58,58,58,58,57.0,57.0,58.0,58.0,57.0,24914,8115327
2024-10-19 03:00:00,57,56,58,56,58,57,59,57,58.0,57.0,59.0,57.0,57.0,76694,8126775
